question,answer
"‘Cacio e pepe’ is a staple of what Italian city’s cuisine?", "Rome"
"What is a Beaujolais?", "A type of red wine"
"Which of the following sauces is NOT traditionally vegan: hoisin, Worcestershire, mustard, or wasabi?", "Worcestershire"
"What is the world’s best-selling stout beer?", "Guinness"
"What is the difference between brandy and cognac?", "Cognac must come from the Cognac region of France"
"What is the primary ingredient in the Italian dessert tiramisu?", "Mascarpone cheese"
"What is the rarest and most expensive spice in the world by weight?", "Saffron"
"What cheese is traditionally made from the milk of a donkey?", "Pule"
"What is the main ingredient in the alcoholic beverage absinthe?", "Wormwood"
"What is the process of adding yeast to dough to create carbon dioxide bubbles?", "Fermentation"
"Which country is credited with inventing ice cream?", "China"
"What is the name of the Japanese art of preparing and presenting food?", "Moritsuke"
"What company was originally called "Cadabra"?", "Amazon"
"What artist has the most streams on Spotify?", "Taylor Swift"
"In which country was Elon Musk born?", "South Africa"
"What year was the first iPhone released?", "2007"
"What is the highest-grossing film of all time?", "Avatar"
"What luxury brand is known for its iconic interlocking “C” logo?", "Chanel"
"What Netflix show had the most streaming views in 2021?", "Squid Game"
"How many ghosts chase Pac-Man at the start of each game?", "4"
"Who has won the most total Academy Awards?", "Walt Disney"
"Queen guitarist Brian May is also an expert in what scientific field?", "Astrophysics"
"What shoe brand makes the "Mexico 66"?", "Onitsuka Tiger"
"What game studio makes the Red Dead Redemption series?", "Rockstar Games"
"What character have both Robert Downey Jr. and Benedict Cumberbatch played?", "Sherlock Holmes"
"What is the highest-rated film on IMDb as of January 1, 2024?", "The Shawshank Redemption"
"Who is the director of the critically acclaimed film “Parasite”?", "Bong Joon-ho"
"Who performs the voice of Homer Simpson?", "Dan Castellaneta"
"Complete the following lyrics: "I should have changed that stupid lock....."", "I should have made you leave your key"
"What was the name of the record label founded by Dr. Dre, Jimmy Iovine, and Interscope Records?", "Aftermath Records"
"Kratos is the main character of what video game series?", "God of War"
"Troy Bolten and Gabriella Montez are the two main characters in what 2006 Disney movie?", "High School Musical"
"The 2002 movie “8 Mile” is a semi-biographical story of what rapper?", "Eminem"
"In the wildly popular 2011 series “Game of Thrones,” what is the sigil of House Stark?", "Direwolf"
"Which country has won the most World Cups?", "Brazil"
"What does FIFA stand for in English?", "International Federation of Association Football"
"Simone Biles is famous for her skill in what sport?", "Gymnastics"
"What was the first name of Argentinian soccer star Maradona?", "Diego"
"What is the national sport of Japan?", "Sumo wrestling"
"In what city is the NFL Hall of Fame located?", "Canton, Ohio"
"Where does the Tour de France finish each year?", "Avenue des Champs-Élysées in Paris"
"What do you call it when a bowler makes three strikes in a row?", "Turkey"
"What height is a regulation NBA basket?", "10 feet / 3.02 meters"
"What sporting event has a strict dress code of all white?", "Wimbledon"
"Who was the world’s highest-paid athlete in 2023?", "Cristiano Ronaldo"
"What is a group of crows called?", "A murder"
"What is the only mammal capable of true flight?", "Bat"
"What is the term for the study of birds?", "Ornithology"
"What is the world's fastest bird?", "Peregrine falcon"
"How many hearts does an octopus have?", "Three"
"What is a group of pandas known as?", "An embarrassment"
"What animal has the longest tongue?", "Giraffe"
"What is the loudest animal on Earth?", "Sperm whale"
"What animal has the largest brain relative to body size?", "Dolphin"
"What animal had the most powerful bite in the world?", "Nile crocodile"
"What animal has the longest lifespan?", "The glass sponge"
"Where is Disney's European theme park located?", "Paris, France"
""I'll Make a Man Out of You" is a song from which movie?", "Mulan"
"Who was the first Disney princess?", "Snow White"
"What color are Mickey Mouse's shoes?", "Yellow"
"Scuttle stars in which movie?", "The Little Mermaid"
"What year was Cinderella released?", "1950"
"Which Disney movie has had the most sequels?", "Toy Story (4)"
"Mickey Mouse was originally named what?", "Mortimer Mouse"
"What character have both Glen Close and Emma Stone played?", "Cruella de Vil"
"How many Academy Awards for Best Original Song has Disney won?", "14"
"Which movie features the line “May the Force be with you”?", "Star Wars"
"Which animated film features a lion cub named Simba?", "The Lion King"
"Who plays Captain Jack Sparrow in the Pirates of the Caribbean series?", "Johnny Depp"
"Which film series centers on a college of magic and a boy wizard?", "Harry Potter"
"Which actress stars as Elle Woods in Legally Blonde?", "Reese Witherspoon"
"Which film follows toys that come to life when humans aren’t around?", "Toy Story"
"Which superhero is also known as the “Friendly Neighborhood” hero of Queens, New York?", "Spider-Man"
"Which 1994 film features a box of chocolates and the line “Life is like…”?", "Forrest Gump"
"Which director made Jaws and E.T. the Extra-Terrestrial?", "Steven Spielberg"
"Which 2014 film stars Keanu Reeves as a retired hitman out for revenge?", "John Wick"
"Which movie won Best Picture at the 2025 Academy Awards?", "Anora "
"Who directed The Dark Knight (2008)?", "Christopher Nolan"
"Which film features the song “My Heart Will Go On”?", "Titanic"
"Which Marvel film first assembled the original six Avengers on screen?", "The Avengers (2012)"
"In which movie does a fedora-wearing archaeologist hunt ancient artifacts?", "Indiana Jones"
"Which 2017 horror film features a ritual called “the Sunken Place”?", "Get Out"
"Which film was the first to win the Academy Award for Best Animated Feature?", "Shrek (2001)"
"Which Japanese animator founded Studio Ghibli with Isao Takahata?", "Hayao Miyazaki"
"Which silent-era film features the “Odessa Steps” sequence?", "Battleship Potemkin"
"Which 1982 sci-fi film was initially a box office disappointment but later became a cult classic and had a 2017 sequel?", "Blade Runner"
"Which 1959 Hitchcock film features a crop-duster chase?", "North by Northwest"
"Which Italian film won the Best Foreign Language Film Oscar and features a father and son in a concentration camp?", "Life Is Beautiful"
"Which 1995 crime drama is known for the line “What’s in the box?”", "Se7en"
"Which director is known for the “Spaghetti Western” Dollars Trilogy?", "Sergio Leone"
"Which sitcom is set in New York and centers on six friends?", "Friends"
"Which sci-fi series features a police box called the TARDIS?", "Doctor Who"
"Which mockumentary series is set at Dunder Mifflin Paper Company?", "The Office (US)"
"Which series follows a high school chemistry teacher turned meth manufacturer?", "Breaking Bad"
"Which show features the character Daenerys Targaryen?", "Game of Thrones"
"Which animated series stars a yellow family living in Springfield?", "The Simpsons"
"Which show features a child with telekinetic powers named Eleven?", "Stranger Things"
"Which competition series crowns a new “Top Chef”?", "Top Chef"
"Which drama is set at Sterling Cooper advertising agency in the 1960s?", "Mad Men"
"Which fantasy series follows Geralt of Rivia?", "The Witcher"
"Which crime series centers on the Baltimore drug trade and journalist circles?", "The Wire"
"Which series about a chess prodigy stars Anya Taylor-Joy?", "The Queen’s Gambit"
"Which series follows the Roy family’s media empire?", "Succession"
"Which anthology series explores near-future technology nightmares?", "Black Mirror"
"Which sitcom features the character Ron Swanson?", "Parks and Recreation"
"Which period series follows the lives of the Crawley family and their servants?", "Downton Abbey"
"Which HBO miniseries dramatizes the 1986 nuclear disaster in Ukraine?", "Chernobyl"
"Which 1990s series popularized the line “No soup for you!”", "Seinfeld"
"Which show created by Vince Gilligan is a prequel to Breaking Bad?", "Better Call Saul"
"Which 2004 ABC series begins with a plane crash on a mysterious island?", "Lost"
"Which Danish-Swedish noir series features detectives Saga Norén and Martin Rohde?", "The Bridge (Bron/Broen)"
"Which series features a Baltimore stick-up man named Omar Little?", "The Wire"
"Which anthology series created by Rod Serling premiered in 1959?", "The Twilight Zone"
"Which 1999 mafia drama follows Tony Soprano?", "The Sopranos"
"Which British band recorded “Hey Jude”?", "The Beatles"
"Which singer is known as the “Queen of Soul”?", "Aretha Franklin"
"What is the highest female voice type in classical singing?", "Soprano"
"Which artist released the album 1989 (Taylor’s Version)?", "Taylor Swift"
"Which band is famous for the song “Bohemian Rhapsody”?", "Queen"
"Which U.S. city is widely considered the birthplace of jazz?", "New Orleans"
"Which rapper is also known as Slim Shady?", "Eminem"
"Who is famed for playing the cello?", "Yo-Yo Ma"
"Which artists hold the record for the most Billboard Hot 100 No. 1s among groups?", "The Beatles "
"Which singer has the most Grammy wins of all time?", "Beyoncé"
"Which composer wrote The Four Seasons?", "Antonio Vivaldi"
"Which band popularized grunge with “Smells Like Teen Spirit”?", "Nirvana"
"Which pianist-composer wrote the Moonlight Sonata?", "Ludwig van Beethoven"
"Which music awards are presented by the Recording Academy?", "The Grammys"
"Which rapper has the most Hot 100 entries in the streaming era?", "Drake"
"Which composer pioneered the 12-tone technique?", "Arnold Schoenberg"
"Which producer is famous for the “Wall of Sound”?", "Phil Spector"
"Which 1977 album is the best-selling of all time worldwide?", "Michael Jackson’s Thriller "
"Which 1967 Beatles album is often cited as rock’s first “concept album”?", "Sgt. Pepper’s Lonely Hearts Club Band"
"Which medieval mode is equivalent to the white keys from D to D?", "Dorian mode"
"Which singer broke the record for most simultaneous Hot 100 top-10 entries in 2022?", "Taylor Swift "
"Which orchestra premiered Stravinsky’s The Rite of Spring in 1913?", "The Orchestre des Concerts Lamoureux (Paris)"
"Which operatic voice type lies between soprano and contralto?", "Mezzo-soprano"
"Who wrote The Hobbit?", "J.R.R. Tolkien"
"Which detective did Agatha Christie create who loves “little grey cells”?", "Hercule Poirot"
"Which novel features the island of Neverland?", "Peter Pan"
"Who wrote Pride and Prejudice?", "Jane Austen"
"Which dystopian novel features “Big Brother”?", "Nineteen Eighty-Four"
"Which children’s series features a wardrobe leading to Narnia?", "The Chronicles of Narnia"
"Who wrote The Cat in the Hat?", "Dr. Seuss"
"Which American novel features the character Scout Finch?", "To Kill a Mockingbird"
"Which author wrote One Hundred Years of Solitude?", "Gabriel García Márquez"
"Which Russian writer penned War and Peace?", "Leo Tolstoy"
"Which poet wrote “The Road Not Taken”?", "Robert Frost"
"Which play by Shakespeare features the “To be, or not to be” soliloquy?", "Hamlet"
"Which author created Sherlock Holmes?", "Arthur Conan Doyle"
"Which novel follows Winston Smith in a totalitarian state?", "Nineteen Eighty-Four"
"Which novelist wrote Beloved?", "Toni Morrison"
"Which ancient epic poem tells of Odysseus’s journey home?", "The Odyssey"
"Which Irish novel set in 1904 unfolds over a single day in Dublin?", "Ulysses by James Joyce"
"Which Nigerian author wrote Things Fall Apart?", "Chinua Achebe"
"Which postmodern novel features Oedipa Maas?", "The Crying of Lot 49"
"Which Chilean poet won the 1971 Nobel Prize in Literature?", "Pablo Neruda"
"Which Russian poet wrote “Requiem”?", "Anna Akhmatova"
"Which American author wrote Invisible Man (1952)?", "Ralph Ellison"
"Which ancient historian wrote The Histories?", "Herodotus"
"What is the pen name of Mary Ann Evans?", "George Eliot"
"Which country invented French fries?", "Belgium"
"What everyday item did ancient Romans use as a form of toothpaste ingredient?", "Crushed bones or shells"
"Which animal sleeps standing up and can’t vomit?", "Horse "
"What vegetable was once considered poisonous in Europe?", "Tomato "
"Which planet has a day longer than its year?", "Venus "
"Which bird can sleep while flying?", "The common swift "
"Which fruit has seeds on the outside?", "Strawberry"
"What was bubble wrap originally invented for?", "Wallpaper "
"Which U.S. president supposedly kept a pet alligator at the White House (briefly)?", "John Quincy Adams"
"What’s the only letter not used in any U.S. state name?", "Q"
"Which animal’s milk is naturally pink?", "Hippopotamus "
"What is the fear of long words humorously called?", "Hippopotomonstrosesquipedaliophobia"
"Which metal is liquid at room temperature besides mercury (just above 30°C)?", "Gallium "
"Which country banned time travel in movies?", "China "
"What creature has three hearts and blue blood?", "Octopus"
"What is the world’s tallest living tree species?", "Coast redwood (Sequoia sempervirens) "
"Which element’s symbol is W due to its German name Wolfram?", "Tungsten"
"What’s the only even prime number?", "2"
"Which food was once used as currency by the Aztecs?", "Cacao beans"
"Which mammal lays eggs?", "Platypus "
"Which country has the most official languages in daily national use?", "South Africa (11)"
"What color do you get when you mix blue and yellow?", "Green"
"How many legs does a spider have?", "Eight"
"What do bees make?", "Honey"
"What is the tallest land animal?", "Giraffe"
"Which planet do we live on?", "Earth"
"What do caterpillars turn into?", "Butterflies"
"What do we call baby dogs?", "Puppies"
"What shape has three sides?", "Triangle"
"What do plants need from sunlight to make food?", "Energy for photosynthesis "
"What gas do we breathe in that our bodies need?", "Oxygen"
"Which planet is known as the Red Planet?", "Mars"
"What is the largest ocean on Earth?", "The Pacific Ocean"
"What do you call a baby cat?", "Kitten"
"Which animal is famous for black-and-white stripes?", "Zebra"
"What is the opposite of “hot”?", "Cold"
"How many minutes are in an hour?", "60"
"Which part of a plant makes seeds inside a flower?", "The ovary"
"How many bones are in the human ear?", "Three (ossicles)"
"What do we call Earth’s blanket of air?", "The atmosphere"
"Which continent has the most people?", "Asia"
"What force keeps us on the ground?", "Gravity"
"What is the center of an atom called?", "The nucleus"
"What is the largest land carnivore?", "Polar bear "
"What is the freezing point of water in Celsius?", "0°C"
"What is H2O commonly called?", "Water"
"What color are school buses typically in the U.S.?", "Yellow"
"Which shape has four equal sides?", "Square"
"What do we call a baby frog?", "Tadpole"
"Which month has 28 days?", "All of them (at least 28)"
"What instrument has black and white keys and strings inside?", "Piano"
"What do you call frozen water?", "Ice"
"What device measures temperature?", "Thermometer"
"What instrument is used to look at stars?", "Telescope"
"What’s the capital of Japan?", "Tokyo"
"How many continents are there on Earth?", "Seven"
"What’s the chemical symbol for gold?", "Au"
"Which mammal is known to spend almost all its life in eucalyptus trees?", "Koala"
"What language has the most native speakers?", "Mandarin Chinese"
"Which metal is most commonly used for electrical wiring?", "Copper"
"What’s the term for animals that maintain a constant body temperature?", "Endotherms"
"Which river is the longest in Africa?", "The Nile"
"Which philosopher wrote The Republic?", "Plato"
"Which ocean current warms Western Europe?", "The North Atlantic Drift (Gulf Stream)"
"What’s the SI unit of electrical resistance?", "Ohm"
"Which dynasty is associated with the Terracotta Army?", "Qin dynasty"
"Which planet has the most moons in the Solar System?", "Saturn"
"Which day comes after Friday?", "Saturday"
"What is 9 × 6?", "54"
"What is half of 250?", "125"
"What is 15 + 27?", "42"
"How many sides does an octagon have?", "Eight"
"What is 100 ÷ 4?", "25"
"What is 10% of 80?", "8"
"What is 7 squared?", "49"
"What is the value of π rounded to two decimals?", "3.14"
"What is the square root of 256?", "16"
"Solve for x: 5x − 10 = 20", "x = 6"
"What is 40% of 350?", "140"
"Express 0.2 as a fraction in simplest terms.", "1/5"
"What is the mean of 5, 7, 9, 11?", "8"
"If a triangle has sides 3, 4, 5, what type is it?", "Right triangle"
"Convert 3/8 to a percentage.", "37.5%"
"What is 12³?", "1,728"
"What is the derivative of 3x² + 5x − 1?", "6x + 5"
"Evaluate the determinant of [[2, 1], [5, 3]].", "1 (2×3 − 1×5)"
"What is the integral of cos x dx?", "sin x + C"
"If log₁₀(x) = 2.5, what is x?", "316.23 (approx.)"
"What is the next prime after 97?", "101"
"What is the probability of drawing an ace from a standard 52-card deck?", "4/52 (1/13)"
"What is Euler’s formula relating complex exponentials and trig?", "e^{ix} = cos x + i sin x"
"What is the sum of the interior angles of a hexagon?", "720 degrees"
"What does CPU stand for?", "Central Processing Unit"
"What does URL stand for?", "Uniform Resource Locator"
"What does Wi-Fi allow devices to do?", "Connect wirelessly to a network"
"What does the “G” in 5G stand for?", "Generation"
"What is the name for a portable computer that folds?", "Laptop"
"What does “AI” stand for?", "Artificial Intelligence"
"What device is used to take a picture of your screen?", "A screenshot tool"
"What is the term for harmful software such as viruses or ransomware?", "Malware"
"What does HTTP stand for?", "Hypertext Transfer Protocol"
"What does GPU stand for?", "Graphics Processing Unit"
"Which company develops the mobile operating system Android?", "Google"
"What is two-factor authentication designed to improve?", "Security"
"What does QR (in QR code) stand for?", "Quick Response"
"Which wireless technology is named after a Viking king?", "Bluetooth (named after Harald “Bluetooth” Gormsson)"
"What is “phishing”?", "A social-engineering scam to trick people into revealing sensitive information"
"In a web address, what is “.com” an example of?", "A top-level domain (TLD)"
"Who is commonly credited with inventing the telephone?", "Alexander Graham Bell"
"In what year was the first iPhone released?", "2007"
"What consumer audio device did Sony launch in 1979 that popularized portable music?", "The Walkman"
"What does GIF stand for?", "Graphics Interchange Format"
"What does USB stand for?", "Universal Serial Bus"
"Which search engine was originally called “Backrub”?", "Google"
"What does HDMI stand for?", "High-Definition Multimedia Interface"
"What does “cloud storage” mean?", "Saving files on remote internet servers instead of a local device"
